#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             Coulomb             BlockWeight         BlockCPU            AcceptRatio         
        48   -4.0605275548e-01    3.1750161946e-01   -1.0881555783e+00    6.8210282279e-01   -1.0881555783e+00    1.2800000000e+02    5.9990576169e-05    1.0000000000e+00
        49   -3.9572534894e-01    3.1554249219e-01   -1.0882142628e+00    6.9248891382e-01   -1.0882142628e+00    1.2800000000e+02    6.0066127926e-05    1.0000000000e+00
        50   -3.8861334529e-01    3.1114360211e-01   -1.0774384989e+00    6.8882515360e-01   -1.0774384989e+00    1.2800000000e+02    5.9821528323e-05    1.0000000000e+00
        51   -3.9004885018e-01    3.1448710053e-01   -1.0853506581e+00    6.9530180791e-01   -1.0853506581e+00    1.2800000000e+02    5.9752275392e-05    1.0000000000e+00
        52   -3.8982686877e-01    3.1581744235e-01   -1.0882020382e+00    6.9837516945e-01   -1.0882020382e+00    1.2800000000e+02    5.9870097635e-05    1.0000000000e+00
        53   -3.8890313476e-01    3.1664209527e-01   -1.0937569048e+00    7.0485377007e-01   -1.0937569048e+00    1.2800000000e+02    6.0048598629e-05    1.0000000000e+00
        54   -3.8479725972e-01    3.0968569310e-01   -1.0896433216e+00    7.0484606186e-01   -1.0896433216e+00    1.2800000000e+02    5.9994506838e-05    1.0000000000e+00
        55   -3.8361428005e-01    3.0471919079e-01   -1.0903214755e+00    7.0670719541e-01   -1.0903214755e+00    1.2800000000e+02    6.0617529300e-05    1.0000000000e+00
        56   -3.8729769442e-01    3.0565341859e-01   -1.0935292412e+00    7.0623154677e-01   -1.0935292412e+00    1.2800000000e+02    5.9784711917e-05    1.0000000000e+00
        57   -3.8137809913e-01    3.0377454784e-01   -1.0920461796e+00    7.1066808052e-01   -1.0920461796e+00    1.2800000000e+02    5.9918222654e-05    1.0000000000e+00
        58   -3.8127429134e-01    3.0123193922e-01   -1.1027974039e+00    7.2152311258e-01   -1.1027974039e+00    1.2800000000e+02    5.9891000975e-05    1.0000000000e+00
        59   -3.8263438239e-01    2.9951384522e-01   -1.1010137404e+00    7.1837935803e-01   -1.1010137404e+00    1.2800000000e+02    6.0193364266e-05    1.0000000000e+00
        60   -3.8500883870e-01    3.0444989865e-01   -1.0982193951e+00    7.1321055644e-01   -1.0982193951e+00    1.2800000000e+02    5.9926787101e-05    1.0000000000e+00
        61   -3.8530294024e-01    3.0511239865e-01   -1.0995902067e+00    7.1428726641e-01   -1.0995902067e+00    1.2800000000e+02    6.0166997070e-05    1.0000000000e+00
        62   -3.8416270826e-01    3.0250041084e-01   -1.0981446407e+00    7.1398193243e-01   -1.0981446407e+00    1.2800000000e+02    5.9937778326e-05    1.0000000000e+00
        63   -3.7784916287e-01    3.0260429218e-01   -1.0943690771e+00    7.1651991424e-01   -1.0943690771e+00    1.2800000000e+02    6.0352290047e-05    1.0000000000e+00
