#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             Coulomb             BlockWeight         BlockCPU            AcceptRatio         
        54   -4.7494146460e-01    8.3582908433e-01   -1.4096674077e+00    9.3472594315e-01   -1.4096674077e+00    1.2800000000e+04    5.5279930566e-03    9.9992187500e-01
        55   -4.9233432054e-01    9.5036557855e-01   -1.3796188239e+00    8.8728450334e-01   -1.3796188239e+00    1.2800000000e+04    5.5202298633e-03    9.9992187500e-01
        56   -4.4593487282e-01    4.8082809593e-01   -1.2746884228e+00    8.2875354999e-01   -1.2746884228e+00    1.2800000000e+04    5.5216125830e-03    1.0000000000e+00
        57   -4.1087266400e-01    4.7520324794e-01   -1.2598934154e+00    8.4902075142e-01   -1.2598934154e+00    1.2800000000e+04    5.5231582568e-03    1.0000000000e+00
        58   -4.2692429622e-01    8.0621140479e-01   -1.2749103778e+00    8.4798608162e-01   -1.2749103778e+00    1.2800000000e+04    5.4951405566e-03    1.0000000000e+00
        59   -3.9572625010e-01    7.5278530185e-01   -1.2746022324e+00    8.7887598226e-01   -1.2746022324e+00    1.2800000000e+04    5.5235429443e-03    1.0000000000e+00
        60   -4.1520926402e-01    8.9048120827e-01   -1.2118710576e+00    7.9666179359e-01   -1.2118710576e+00    1.2800000000e+04    5.5238887939e-03    1.0000000000e+00
        61   -4.5360256312e-01    5.6359293795e-01   -1.1812152884e+00    7.2761272528e-01   -1.1812152884e+00    1.2800000000e+04    5.5171434521e-03    1.0000000000e+00
        62   -5.5703702249e-01    1.8916090641e+00   -1.2804334739e+00    7.2339645137e-01   -1.2804334739e+00    1.2800000000e+04    5.5239644531e-03    1.0000000000e+00
        63   -5.0006162003e-01    9.9162468141e-01   -1.2931994177e+00    7.9313779767e-01   -1.2931994177e+00    1.2800000000e+04    5.5021086865e-03    9.9984375000e-01
        64   -4.1664721939e-01    4.7655523036e-01   -1.2271286020e+00    8.1048138263e-01   -1.2271286020e+00    1.2800000000e+04    5.5204681396e-03    9.9984375000e-01
        65   -4.3479859429e-01    5.8722441666e-01   -1.2404849528e+00    8.0568635853e-01   -1.2404849528e+00    1.2800000000e+04    5.5180950781e-03    9.9984375000e-01
        66   -3.9616182330e-01    4.1504611793e-01   -1.2432158212e+00    8.4705399787e-01   -1.2432158212e+00    1.2800000000e+04    5.5219541748e-03    1.0000000000e+00
        67   -4.2985169402e-01    7.4710896428e-01   -1.2654485210e+00    8.3559682693e-01   -1.2654485210e+00    1.2800000000e+04    5.5221828564e-03    9.9992187500e-01
        68   -4.9349772672e-01    9.3208227617e-01   -1.3418363072e+00    8.4833858050e-01   -1.3418363072e+00    1.2800000000e+04    5.5039400098e-03    1.0000000000e+00
        69   -4.6930505947e-01    6.4422573937e-01   -1.3003638565e+00    8.3105879700e-01   -1.3003638565e+00    1.2800000000e+04    5.5189041016e-03    9.9992187500e-01
        70   -4.0930591024e-01    5.4544516800e-01   -1.2507200477e+00    8.4141413742e-01   -1.2507200477e+00    1.2800000000e+04    5.5249397852e-03    1.0000000000e+00
        71   -4.8919275905e-01    1.2177357844e+00   -1.2523798926e+00    7.6318713358e-01   -1.2523798926e+00    1.2800000000e+04    5.5208504639e-03    9.9976562500e-01
        72   -4.3022040136e-01    8.4470383391e-01   -1.1779732375e+00    7.4775283613e-01   -1.1779732375e+00    1.2800000000e+04    5.5200597363e-03    9.9992187500e-01
        73   -4.9141450447e-01    7.5675900467e-01   -1.2075751130e+00    7.1616060850e-01   -1.2075751130e+00    1.2800000000e+04    5.5019197754e-03    9.9992187500e-01
        74   -4.4417493667e-01    6.4750643427e-01   -1.2499185676e+00    8.0574363094e-01   -1.2499185676e+00    1.2800000000e+04    5.5156482178e-03    9.9992187500e-01
        75   -4.8528784774e-01    6.3870608372e-01   -1.1983943960e+00    7.1310654823e-01   -1.1983943960e+00    1.2800000000e+04    5.5210913672e-03    1.0000000000e+00
        76   -4.8332633837e-01    6.2612283450e-01   -1.1506400685e+00    6.6731373010e-01   -1.1506400685e+00    1.2800000000e+04    5.5208379102e-03    1.0000000000e+00
        77   -4.9727044509e-01    7.2047725988e-01   -1.1513708992e+00    6.5410045415e-01   -1.1513708992e+00    1.2800000000e+04    5.5187418799e-03    1.0000000000e+00
        78   -4.5657208635e-01    4.5015602152e-01   -1.1470248342e+00    6.9045274788e-01   -1.1470248342e+00    1.2800000000e+04    5.5022749072e-03    1.0000000000e+00
        79   -4.6662148800e-01    4.3605729422e-01   -1.1460458972e+00    6.7942440925e-01   -1.1460458972e+00    1.2800000000e+04    5.5241260645e-03    1.0000000000e+00
        80   -5.0898264053e-01    1.0024865197e+00   -1.2003581475e+00    6.9137550700e-01   -1.2003581475e+00    1.2800000000e+04    5.5144592969e-03    1.0000000000e+00
        81   -5.1405673210e-01    9.2849087362e-01   -1.2208628681e+00    7.0680613596e-01   -1.2208628681e+00    1.2800000000e+04    5.5213650781e-03    1.0000000000e+00
        82   -4.9083618315e-01    7.1343068312e-01   -1.2325830001e+00    7.4174681691e-01   -1.2325830001e+00    1.2800000000e+04    5.5226181104e-03    1.0000000000e+00
        83   -4.3162641073e-01    8.2012379627e-01   -1.2366491074e+00    8.0502269668e-01   -1.2366491074e+00    1.2800000000e+04    5.5252819287e-03    1.0000000000e+00
